k,silhouette,inertia
2,0.2527327033773746,554587.4149129263
3,0.18350069667141303,489460.58510594035
4,0.15771381492398848,444301.9053699216
5,0.1423353569936807,412907.1599714425
6,0.14037572277405316,387739.3257263375
7,0.1333501852031863,368980.49525991094
8,0.126727417239925,354467.2248454152
