cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,8.9,11.7,15.1,0.84,1.32,1.76,29.0,41.0,58.0,7.0,11.0,16.0,13.0,19.0,26.0,3.0,4.0,5.1,5.155215589468709,7.4,10.4,2.7,3.3,4.2,3339.0
1,18.6,24.2,31.6,1.13,1.5,2.02,39.0,50.0,64.0,10.9048247471178,16.0,22.0,7.0,11.0,15.0,5.7,9.6,15.3,10.6,14.0,17.5,3.1726930827420095,4.0,5.0,2496.0
2,28.2,37.8,52.3,0.73,1.01,1.37,48.0,60.0,75.0,16.0,21.98,28.68,6.0,9.249985853148058,13.27290568052612,10.9,17.0,28.3,15.4,19.1,23.9,2.3,2.7,3.1,1961.0
3,51.324999999999996,67.95,88.6,1.12,1.44,1.78,35.0,48.0,68.0,7.0,12.0,17.0,6.0,8.0,12.0,19.5,32.5,51.275,22.6,29.1,39.3,2.9,3.5,4.4,1798.0
4,18.8,24.2,30.9,0.48,0.67,0.96,25.0,34.0,46.0,6.0,9.0,12.0,7.0,11.0,16.0,5.775,8.8,13.0,11.4,14.3,18.8,2.0,2.6,3.3,1692.0
5,73.375,92.7,119.64999999999999,1.7375,2.22,2.71,97.0,118.0,149.0,25.0,33.975,44.0,5.0,8.0,11.0,41.5,59.349999999999994,87.125,28.124323851812157,33.25,38.225,4.1,5.4,7.9,1332.0
6,33.6,43.0,57.6,1.57,1.92,2.3,57.0,70.0,86.0,18.0,24.0,31.0,4.0,6.0,10.0,12.8,20.5,32.6,17.7,22.1,27.65,3.8,4.7,5.8,2327.0
7,24.1,32.6,45.0,1.0,1.66,2.39,72.0,89.0,115.0,20.418568976591963,30.0,39.875,14.0,19.0,28.0,6.6,10.2,16.7,17.1,21.8,27.3,3.5,4.1,5.2,1207.0
