cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,26.2,39.2,61.3,0.67,1.04,1.46,34.0,48.0,65.0,8.0,13.0,21.0,6.0,9.0,14.0,9.1,16.1,31.5,14.8,20.0,27.3,2.3,2.9,3.5,5451.0
1,20.0,26.4,35.0,1.11,1.54,2.14,44.0,60.0,83.0,12.585,19.0,28.045,9.0,13.0,20.0,5.9,9.8,15.7,11.9,16.0,21.0,3.209096626409638,4.1,5.0,3703.0
2,38.7,57.1,87.45,1.62,2.01,2.45,63.0,83.0,111.0,20.0,26.65,36.0,4.0,6.0,10.0,16.6,30.5,56.05,20.0,26.0,33.0,3.9,4.9,6.3,3659.0
3,8.9,11.7,15.1,0.84,1.32,1.76,29.0,41.0,58.0,7.0,11.0,16.0,13.0,19.0,26.0,3.0,4.0,5.1,5.155215589468709,7.4,10.4,2.7,3.3,4.2,3339.0
