window,k,cluster,n,semantic_label,description,NOX_median,NOX_pct,CO_median,CO_pct,PM10_median,PM10_pct,PM2.5_median,PM2.5_pct,O3_median,O3_pct,NO_median,NO_pct,NO2_median,NO2_pct,SO2_median,SO2_pct
midday,5,0,8064,Mixto,"NOX: medio, CO: medio, PM10: medio, PM2.5: medio, O3: alto, NO: medio, NO2: medio, SO2: medio",18.4,45,1.43,52,79.0,62,27.0,65,53.0,77,4.5,37,13.6,48,4.3,55
midday,5,1,5555,Tráfico alto,"NOX: alto, CO: medio, PM10: alto, PM2.5: medio, O3: bajo, NO: alto, NO2: alto, SO2: medio",54.3,87,1.76,69,95.0,75,31.02,74,22.0,23,21.8,86,30.6,86,5.3,70
midday,5,2,3302,Mixto,"NOX: bajo, CO: medio, PM10: medio, PM2.5: bajo, O3: medio, NO: bajo, NO2: bajo, SO2: medio",8.5,10,1.55,59,58.0,38,12.9236065442218,23,39.0,57,3.7,24,4.8,10,4.3,55
midday,5,3,4143,Mixto,"NOX: medio, CO: medio, PM10: medio, PM2.5: medio, O3: medio, NO: medio, NO2: medio, SO2: medio",25.1,59,1.14,38,50.0,27,16.0,35,25.0,29,8.7,64,15.8,55,3.4,37
midday,5,4,3164,Mixto,"NOX: bajo, CO: bajo, PM10: bajo, PM2.5: bajo, O3: medio, NO: medio, NO2: bajo, SO2: bajo",11.7,24,0.7,14,40.00000303964657,16,10.605006481060279,17,36.0,51,4.1,31,7.560021407853354,24,2.6,16
