cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,12.9,18.4,26.9,0.95,1.43,1.94,63.0,79.0,102.0,20.0,27.0,36.0,39.0,53.0,68.0,3.4,4.5,7.0,9.0,13.6,19.5,3.3,4.3,6.1,8064.0
1,42.4,54.3,72.6,1.29,1.76,2.32,73.0,95.0,122.0,22.0,31.02,43.0,13.0,22.0,32.0,14.2,21.8,35.3,24.3,30.6,39.0,3.7,5.3,7.3,5555.0
2,7.1,8.5,10.3,1.11,1.55,1.97,46.0,58.0,78.0,8.0,12.9236065442218,19.215015456724192,32.0,39.0,50.0,3.2000000554385726,3.7,4.3,3.6,4.8,6.1,3.4,4.3,6.3,3302.0
3,19.6,25.1,32.7,0.83,1.14,1.56,36.0,50.0,64.0,10.7,16.0,22.0,17.0,25.0,35.0,6.5,8.7,12.3,11.9,15.8,20.0,2.7,3.4,4.8,4143.0
4,9.3,11.7,14.9,0.4975,0.7,1.04,31.0,40.00000303964657,54.0,7.0,10.605006481060279,15.289809632111739,27.0,36.0,48.0,3.3,4.1,5.1,5.5,7.560021407853354,9.9,2.2,2.6,3.3,3164.0
