cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,9.2,11.3,13.9,0.84,1.51,2.02,52.0,67.0,85.0,15.0,20.92,28.22,40.0,50.0,62.0,2.7,3.1,3.5,6.0,8.2,10.7,3.0,3.6,4.549999985571604,3753.0
1,13.9,16.9,20.7,0.62,0.91,1.47,31.0,41.0,52.0,6.999986040742764,11.0,17.0,20.0,27.0,36.0,3.7,4.4,5.3,9.4,12.3,15.8,2.3,2.7,3.3,2194.0
2,16.5,21.8,28.9,1.27,1.71,2.2,69.0,88.0,113.0,23.36710422190352,30.44,39.1442977894208,28.0,41.0,68.0,3.4,4.0,5.1,12.1,17.4,23.8,2.9,3.6,4.9,1769.0
3,29.5,38.0,51.849999999999994,1.08,1.45,1.82,36.0,48.0,60.0,9.0,13.0,18.0,9.0,13.0,19.0,7.0,11.3,18.4,20.05,24.9,30.5,2.6,3.2,4.0,1051.0
4,8.4,9.7,11.2,1.1,1.4,1.73,36.0,45.0,57.0,7.027755281310371,10.835,15.0,31.0,37.0,44.40909020743095,3.1,3.5,3.9,4.9,6.2,7.7,3.9,4.9,7.9807701910914775,2082.0
5,20.8,26.4,34.6,0.92,1.2,1.64,49.0,64.0,81.0,13.0,18.0,25.5325,27.0,36.0,47.0,4.4,5.6,7.794998732952854,15.2,20.0,26.5,3.8,5.0,6.4,3558.0
6,8.5,9.7,11.2,0.3675,0.52,0.6735929755903958,33.0,40.0,51.0575,6.6850000000000005,9.0,12.645,30.0,37.0,45.0,2.7,3.0,3.4,5.3,6.5,8.1,2.1,2.5,3.0,1132.0
7,50.1,62.6,82.75,1.57,1.87,2.24,84.0,103.0,130.0,27.01491447116441,36.0,47.5,6.5,12.0,21.0,11.8,20.5,33.2,33.3,40.1,49.0,3.1,3.9,5.3,607.0
