cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,21.5,27.3,33.1,1.06,1.53,2.01,73.0,91.0,119.0,20.0,27.0,35.0,32.0,44.0,60.0,5.3,7.3,9.8,14.8,19.3,23.7,3.8,4.980000573812564,6.4,3534.0
1,19.6,25.1,32.7,0.83,1.14,1.56,36.0,50.0,64.0,10.7,16.0,22.0,17.0,25.0,35.0,6.5,8.7,12.3,11.9,15.8,20.0,2.7,3.4,4.8,4143.0
2,7.1,8.5,10.3,1.11,1.55,1.97,46.0,58.0,78.0,8.0,12.9236065442218,19.215015456724192,32.0,39.0,50.0,3.2000000554385726,3.7,4.3,3.6,4.8,6.1,3.4,4.3,6.3,3302.0
3,10.9,13.7,17.5,0.7,0.99,1.42,51.0,64.0,80.0,19.244999999999997,25.94,34.9,43.0,54.0,68.0,3.0,3.6,4.4,7.5,9.9,13.3,2.6,3.3,4.1,2735.0
4,9.3,11.7,14.9,0.4975,0.7,1.04,31.0,40.00000303964657,54.0,7.0,10.605006481060279,15.289809632111739,27.0,36.0,48.0,3.3,4.1,5.1,5.5,7.560021407853354,9.9,2.2,2.6,3.3,3164.0
5,11.82500220976376,14.9,18.9,1.48,1.88,2.35,67.0,84.0,102.0,22.0,30.0,41.0,51.0,64.0,79.0,3.0,3.6,4.4,8.5,11.2,14.7,3.7,5.2,14.850000000000001,1795.0
6,41.225,53.6,71.5,1.53,2.05,2.62,87.0,107.0,134.0,28.0,35.64582109695789,46.0,19.0,28.0,40.0,12.1,18.4,30.8,26.4,33.7,42.475,4.8,6.5,8.9,3110.0
7,43.7,55.2,73.5,1.13,1.49,1.89,58.0,77.0,102.0,16.0,24.0,36.0,10.61538511864327,15.0,22.0,17.9,25.6,40.1,22.4,27.3,34.0,3.2,4.0,5.4,2445.0
