cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,22.7,32.1,49.49255418675443,0.81,1.23,1.7,38.0,53.0,72.0,9.999987449236755,15.64211093511172,24.0,7.0,11.0,16.0,7.5,12.8,23.5,13.5,18.1,24.8,2.6,3.3,4.2,9154.0
1,8.9,11.7,15.1,0.84,1.32,1.76,29.0,41.0,58.0,7.0,11.0,16.0,13.0,19.0,26.0,3.0,4.0,5.1,5.155215589468709,7.4,10.4,2.7,3.3,4.2,3339.0
2,38.7,57.1,87.45,1.62,2.01,2.45,63.0,83.0,111.0,20.0,26.65,36.0,4.0,6.0,10.0,16.6,30.5,56.05,20.0,26.0,33.0,3.9,4.9,6.3,3659.0
