cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,7.8,9.8,12.6,0.64,1.08,1.68,37.0,49.0,66.0,7.549607700802536,11.750106426385454,17.0,29.0,38.0,49.0,3.3,3.8,4.6,4.2,5.8,8.2,2.6,3.3,4.5,6466.0
1,42.4,54.3,72.6,1.29,1.76,2.32,73.0,95.0,122.0,22.0,31.02,43.0,13.0,22.0,32.0,14.2,21.8,35.3,24.3,30.6,39.0,3.7,5.3,7.3,5555.0
2,12.9,18.4,26.9,0.95,1.43,1.94,63.0,79.0,102.0,20.0,27.0,36.0,39.0,53.0,68.0,3.4,4.5,7.0,9.0,13.6,19.5,3.3,4.3,6.1,8064.0
3,19.6,25.1,32.7,0.83,1.14,1.56,36.0,50.0,64.0,10.7,16.0,22.0,17.0,25.0,35.0,6.5,8.7,12.3,11.9,15.8,20.0,2.7,3.4,4.8,4143.0
