cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,19.3,24.8,32.8,0.97,1.38,1.83,55.0,71.0,92.0,15.0,22.0,31.0,28.0,37.0,51.0,3.9,5.0,7.0,14.2,19.2,25.6,3.5,4.6,6.1,5327.0
1,33.9,47.05,65.875,1.22,1.61,2.0375,43.0,61.0,92.0,11.0,18.119999999999997,31.0,8.0,13.0,20.0,8.1,13.649999999999999,26.175,22.3,29.3,39.175000000000004,2.8,3.4,4.5,1658.0
2,10.5,14.14995102215023,18.5,0.5,0.72,1.19,32.0,41.0,52.0,6.783864898218855,10.0,15.289606257935198,23.0,31.0,40.0,3.1,3.8,4.775,7.0,9.9,13.9,2.2,2.6,3.2,3326.0
3,9.2,11.3,13.9,0.84,1.51,2.02,52.0,67.0,85.0,15.0,20.92,28.22,40.0,50.0,62.0,2.7,3.1,3.5,6.0,8.2,10.7,3.0,3.6,4.549999985571604,3753.0
4,8.4,9.7,11.2,1.1,1.4,1.73,36.0,45.0,57.0,7.027755281310371,10.835,15.0,31.0,37.0,44.40909020743095,3.1,3.5,3.9,4.9,6.2,7.7,3.9,4.9,7.9807701910914775,2082.0
