cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,15.7,20.8,28.3,0.8995750663819402,1.36,1.9,36.0,52.0,72.0,8.0,14.42,22.0,11.0,17.0,24.0,3.1,4.154586397789869,6.1,11.4,15.9,22.2,2.9,3.7,4.8,16227.0
1,6.5,8.9,12.5,0.59,1.03,1.56,29.0,40.0,54.0,6.368417574845531,10.36708126715137,16.0,18.0,23.0,30.0,2.2,2.5,2.9,4.1,6.4,9.7,2.5,3.179993075715323,4.0,16976.0
2,35.3,50.0,73.6,1.11,1.58,2.07,51.0,71.0,104.0,15.0,23.0,34.0,4.082455836177804,7.0,10.0,9.2,17.0,34.1,22.4,29.5,38.8,2.8,3.5,4.5,7177.0
