cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,9.2,11.4,15.0,0.68,1.16,1.73,38.0,50.0,68.0,8.79,14.0,21.0,30.0,39.0,51.0,2.9,3.4,4.0,5.9,8.0,11.3,2.7,3.4,4.5,9161.0
1,20.8,28.0,39.8,1.01,1.45,1.88,52.0,69.0,92.0,14.0,21.0,31.0,20.0,32.0,46.0,4.2,5.8,9.4,15.4,21.3,28.9,3.2,4.2,5.7,6985.0
