cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,7.1,10.0,13.8,0.48,0.74,1.14,27.0,36.0,48.0,5.282861114504802,9.0,13.43403381869651,17.0,22.0,29.0,2.2,2.5,3.0,4.7,7.4,10.9,2.3,2.8,3.4,11415.0
1,15.3,20.5,27.6,1.12,1.67,2.17,52.0,65.0,85.0,15.0,20.36,28.0,11.0,17.0,25.0,2.8,3.7,5.3,11.4,16.1,22.3,3.1,3.8,5.0,9351.0
2,35.3,50.0,73.6,1.11,1.58,2.07,51.0,71.0,104.0,15.0,23.0,34.0,4.082455836177804,7.0,10.0,9.2,17.0,34.1,22.4,29.5,38.8,2.8,3.5,4.5,7177.0
3,16.2,21.2,29.6,0.73,0.99,1.42,26.0,35.0,46.36780022486947,5.0,8.0,11.0,11.0,17.0,23.0,3.6,4.8,7.2,11.4,15.639982587088216,22.1,2.7,3.5,4.7,6876.0
4,5.9,7.5,9.8,1.33,1.64,1.98,37.0,48.0,65.0,10.0,14.0,20.0,20.0,26.0,33.0,2.2,2.5,2.8,3.3,4.9,7.1,3.3,4.1,5.4,5561.0
