cluster,NOX_p25,NOX_median,NOX_p75,CO_p25,CO_median,CO_p75,PM10_p25,PM10_median,PM10_p75,PM2.5_p25,PM2.5_median,PM2.5_p75,O3_p25,O3_median,O3_p75,NO_p25,NO_median,NO_p75,NO2_p25,NO2_median,NO2_p75,SO2_p25,SO2_median,SO2_p75,count_count
0,16.2,21.2,29.6,0.73,0.99,1.42,26.0,35.0,46.36780022486947,5.0,8.0,11.0,11.0,17.0,23.0,3.6,4.8,7.2,11.4,15.639982587088216,22.1,2.7,3.5,4.7,6876.0
1,17.0,22.8,29.9,1.0,1.51,2.03,51.0,65.0,84.0,15.0,19.889189446022037,27.0,10.0,15.0,20.0,3.2,4.3,6.1,12.6,17.8,24.2,3.0,3.9,5.3,6984.0
2,5.8,7.7,10.5,0.6,1.02,1.47,22.0,28.0,35.0,4.0,6.016984651410034,9.6675,18.0,23.0,29.0,2.1,2.4,2.7237496103191914,3.5,5.3,7.9,2.4,3.0,3.6,5482.0
3,31.7,41.7,56.3,0.94,1.37,1.78,45.0,60.0,77.0,13.0,19.0,27.0,5.0,7.0,10.0,7.7,12.7,21.9,20.4,26.7,34.0,2.6,3.2,3.9,5124.0
4,5.9,7.5,9.8,1.33,1.64,1.98,37.0,48.0,65.0,10.0,14.0,20.0,20.0,26.0,33.0,2.2,2.5,2.8,3.3,4.9,7.1,3.3,4.1,5.4,5561.0
5,9.3,12.3,16.2,0.42,0.6,0.83,35.0,45.0,58.0,8.0,11.98766650573128,17.05,16.0,22.0,29.0,2.3,2.7,3.3,6.7,9.6,13.1,2.2,2.6,3.2,5933.0
6,61.2,83.8,115.0,1.74,2.13,2.6,99.0,127.0,170.0,27.0,36.0,48.0,4.0,6.818180208009774,10.0,23.8,43.3,72.5,30.7,38.7,48.0,3.7,4.5,5.9,2053.0
7,12.368181143891334,15.6,19.3,1.67,2.0,2.505,54.0,67.0,89.0,17.0,23.0,30.0,22.0,29.0,38.0,2.3,2.7,3.3,9.6,12.7,16.3,3.3,3.7,4.4,2367.0
