window,n_samples,features_used,best_k_bic,silhouette,bic_min
morning_peak,16152,"PM10,NOX,NO",6,0.20910456164125335,56665.03728728375
midday,24228,"PM10,O3,NOX",6,0.11138368676959133,149809.31425979754
evening_peak,16146,"PM10,O3,NOX",6,0.15672449105562303,103380.44902836047
night,40380,"PM10,NOX,O3",6,0.21021535110981343,236385.9657942745
