block,n_samples,kmeans_k,kmeans_silhouette,kmeans_dbi,hdbscan_silhouette,hdbscan_dbi,hdbscan_core_count
morning_peak,16152,2,0.2488278954254662,1.4796678998944652,,,0
midday,24228,2,0.26544445705239605,1.4244151748867038,,,0
evening_peak,16146,2,0.22317024136692792,1.6465689387867566,,,0
night,40380,2,0.2563349036328902,1.4512655116063518,,,0
