k,silhouette,dbi,inertia
2,0.2563349036328902,1.4512655116063518,228322.92255990708
3,0.1977971219423901,1.7001781274430312,198808.60736945397
4,0.17615143712422413,1.6222156255432307,177586.82220889447
5,0.1644961919334193,1.661183751292197,164742.3803451215
6,0.15502001100909482,1.731455999597032,155647.35296356984
7,0.14876242827711983,1.6619344399108058,148439.75338768502
8,0.14266502777384493,1.6839835443587958,142823.83156763672
